 0.6362623  0.6274348 16.1789472
 0.6336091  0.6279454  7.5889039
 0.6329819  0.6267292  5.8607368
 0.6365004  0.6266307  5.9373040
 0.6305104  0.6312318  6.0761590
        NA  0.6596716         NA
 0.6573321  0.6519962  8.7851532
        NA  0.6583486         NA
 0.6610730  0.6533634  6.5440061
        NA  0.6444590         NA
 0.6765127  0.6731111  6.8823068
 0.6743079  0.6728810  6.8965461
 0.6764958  0.6728198  7.0846610
 0.6754759  0.6698782  7.0530810
 0.6730979  0.6745903  6.8657799
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
        NA         NA         NA
