,dataset,scaling,method,k1,k2,ObjVal_Train,ObjVal_Test,Time_Elapsed,N_Iter
0,6,False,greedy_CCA,2,2,0.813352340756676,0.812401933108962,0.094497442245483,-1
1,6,False,greedy_CCA,2,2,0.853882489867294,0.728848503518811,0.072868585586548,-1
2,6,False,greedy_CCA,2,2,0.826045898173278,0.812247637607835,0.071790456771851,-1
3,6,False,greedy_CCA,2,2,0.8185989186221,0.842581669460797,0.071984529495239,-1
4,6,False,greedy_CCA,2,2,0.796717273712569,0.796187316911127,0.0721116065979,-1
5,6,False,CCA_without,2,2,0.831750588808489,0.789197207843039,1000.12748193741,-1
6,6,False,CCA_without,2,2,0.873447611966975,0.709917852637967,1000.12379670143,-1
7,6,False,CCA_without,2,2,0.833980685912328,0.784298951913483,1000.19775271416,-1
8,6,False,CCA_without,2,2,0.826407542556629,0.823972682960986,1000.20472145081,-1
9,6,False,CCA_without,2,2,0.816063089176664,0.784303101926584,1000.21947574615,-1
10,6,False,CCA_with,2,2,0.833766546056679,0.788945351699554,100.271780490875,3
11,6,False,CCA_with,2,2,0.873486463103423,0.709771523131579,100.207250833511,3
12,6,False,CCA_with,2,2,0.833926747738775,0.786469229140632,100.459922790527,7
13,6,False,CCA_with,2,2,0.826391028285187,0.823716423821493,100.24647808075,3
14,6,False,CCA_with,2,2,0.818488268834221,0.789432191544772,100.204409599304,3
15,6,False,multistart_CCA,2,2,0.833767072234135,0.788273837839179,19.6084680557251,-1
16,6,False,multistart_CCA,2,2,0.873485765735901,0.709798975655806,14.0499086380005,-1
17,6,False,multistart_CCA,2,2,0.8340116541083,0.783701915913317,8.20669841766357,-1
18,6,False,multistart_CCA,2,2,0.826420812735155,0.823112467386059,17.4639308452606,-1
19,6,False,multistart_CCA,2,2,0.818488268834221,0.789432191544772,38.6977128982544,-1
20,6,False,benders_CCA_without,2,2,0.833752631477352,0.789856405021115,1000.48984527588,1894
21,6,False,benders_CCA_without,2,2,0.873504235715249,0.709339529670998,1000.94943022728,1964
22,6,False,benders_CCA_without,2,2,0.833993418858304,0.783608127320749,1000.67093539238,1724
23,6,False,benders_CCA_without,2,2,0.826397902329575,0.823893945526367,1000.55538725853,1905
24,6,False,benders_CCA_without,2,2,0.81841990812954,0.788869426615582,1002.28707456589,1891
25,6,False,benders_CCA_with,2,2,0.833037834669056,0.80373838923554,1000.65068507195,1756
26,6,False,benders_CCA_with,2,2,0.873504235715249,0.709339529670998,1000.84172296524,1797
27,6,False,benders_CCA_with,2,2,0.833993418858304,0.783608127320749,1000.99036598206,1674
28,6,False,benders_CCA_with,2,2,0.826397902329575,0.823893945526367,1000.48095297813,1122
29,6,False,benders_CCA_with,2,2,0.81841990812954,0.788869426615582,1000.78667807579,1699
30,6,False,kernelsearch_CCA_without,2,2,0.826712896991412,0.785212866644611,310.115942239761,-1
31,6,False,kernelsearch_CCA_without,2,2,0.873343195461536,0.701289741937229,150.453478574753,-1
32,6,False,kernelsearch_CCA_without,2,2,0.83391079934593,0.785585761314039,71.9811372756958,-1
33,6,False,kernelsearch_CCA_without,2,2,0.826390859334346,0.823568018261657,241.053337574005,-1
