,dataset,method,k1,k2,ObjVal_Train,ObjVal_Test,Time_Elapsed,N_Iter
0,0,greedy_CCA,3,3,0.813503489455538,0.822772519372061,0.504049777984619,-1
1,0,greedy_CCA,3,3,0.824060134356259,0.808058745829664,0.471287488937378,-1
2,0,greedy_CCA,3,3,0.838847388621483,0.769787344261787,0.466717481613159,-1
3,0,greedy_CCA,3,3,0.827361422381591,0.797434044232547,0.463068008422852,-1
4,0,greedy_CCA,3,3,0.833116689655202,0.827710904580275,0.45139217376709,-1
5,0,CCA_without,3,3,0.808187257313581,0.818939109038632,1000.04332304001,-1
6,0,CCA_without,3,3,0.780629936470086,0.722546854863893,1000.0739428997,-1
7,0,CCA_without,3,3,0.837846216954445,0.816540346879331,1000.03986406326,-1
8,0,CCA_without,3,3,0.779674767550606,0.734950222983607,1000.04260468483,-1
9,0,CCA_without,3,3,0.766181140132021,0.734774976498605,1000.0482070446,-1
10,0,CCA_with,3,3,0.807920010322497,0.818494794279839,101.515106678009,3
11,0,CCA_with,3,3,0.797178842788143,0.738856488643167,102.651108503342,5
12,0,CCA_with,3,3,0.835523291494042,0.789833457991582,105.78449845314,9
13,0,CCA_with,3,3,0.780250832237699,0.735603116981736,101.272461175919,3
14,0,CCA_with,3,3,0.808721505152672,0.78423089298307,106.430105924606,11
15,0,multistart_CCA,3,3,0.848030290740294,0.858702078387296,75.8128824234009,-1
16,0,multistart_CCA,3,3,0.850413344630307,0.890956490386793,91.8973848819733,-1
17,0,multistart_CCA,3,3,0.874248872990036,0.76467111459944,117.040754795074,-1
18,0,multistart_CCA,3,3,0.836329543759291,0.826538759487095,83.8981263637543,-1
19,0,multistart_CCA,3,3,0.867019156531351,0.829549788921858,92.4793965816498,-1
20,0,benders_CCA_without,3,3,0.8385146348599898,0.8768352011276831,1016.122729063034,699
21,0,benders_CCA_without,3,3,0.8598572693349051,0.752952153011567,1017.9638159275056,641
22,0,benders_CCA_without,3,3,0.8469139821824727,0.853200271596043,1000.4832665920258,1626
23,0,benders_CCA_without,3,3,0.8511795944523408,0.842110167259752,1000.6257004737854,1021
24,0,benders_CCA_with,3,3,0.8204736578928442,0.8586616652113881,1062.766348361969,345
