,dataset,method,k1,k2,ObjVal_Train,ObjVal_Test,Time_Elapsed,N_Iter
0,0,greedy_CCA,3,3,0.827377825107492,0.805152711655266,0.672640609741211,-1
1,0,CCA_without,3,3,0.831613499761675,0.814408376134852,1000.07909450531,-1
2,0,CCA_with,3,3,0.793581221892821,0.79066468463544,104.91065030098,5.4
3,0,multistart_CCA,3,3,0.85648093854575,0.851351732308316,114.739674568176,-1
4,0,benders_CCA_without,3,3,0.830601631968947,0.825403268450674,1022.22506690025,597
5,0,benders_CCA_with,3,3,0.822627224417243,0.81795540135098,1003.61288938522,778.8
6,0,kernelsearch_CCA_without,3,3,0.856199140604835,0.845001266555159,913.495375156403,-1
7,0,kernelsearch_CCA_with,3,3,0.856152196923985,0.845388211638808,915.72892613411,-1
8,0,combined_CCA,3,3,0.860398984296337,0.841172616071886,103.594905233383,-1
9,0,greedy_CCA,5,5,0.853171424003276,0.830660241902855,1.27387614250183,-1
10,0,CCA_without,5,5,0.809135499962641,0.790072553680816,1000.09946093559,-1
11,0,CCA_with,5,5,0.864598903640114,0.847922220666914,113.989819812775,13.8
12,0,multistart_CCA,5,5,0.872654911007948,0.849427321408206,227.876708889008,-1
13,0,benders_CCA_without,5,5,0.686726414778452,0.679614667064248,1048.44066643715,75.8
14,0,benders_CCA_with,5,5,0.789966512440374,0.782867167779542,1093.93759226799,50.2
15,0,kernelsearch_CCA_without,5,5,0.857399326838432,0.85079141098701,923.778123188019,-1
16,0,kernelsearch_CCA_with,5,5,0.857399326838432,0.85079141098701,923.711397504806,-1
17,0,combined_CCA,5,5,0.89096151867714,0.876166157189417,7.85970492362976,-1
18,0,greedy_CCA,10,10,0.892082484756502,0.861085891504841,3.14043793678284,-1
19,0,CCA_without,10,10,0.842273641531152,0.81715775381427,1000.08411073685,-1
20,0,CCA_with,10,10,0.875765089564482,0.853863753493822,116.228076267242,15
21,0,multistart_CCA,10,10,0.895597101322507,0.880634367724764,254.144142389297,-1
22,0,benders_CCA_without,10,10,0.681315226892167,0.676976582387368,1042.011353302,190.6
23,0,benders_CCA_with,10,10,0.846355669999638,0.828820036064719,1337.41395201683,31.8
24,0,kernelsearch_CCA_without,10,10,0.857881230356276,0.839609355385236,915.586803293228,-1
25,0,kernelsearch_CCA_with,10,10,0.857881230356276,0.839609355385236,915.749908590317,-1
26,0,combined_CCA,10,10,0.913839089599323,0.89883853922433,201.127542066574,-1
27,1,greedy_CCA,2,2,0.805862802469514,0.808045661636891,0.043101835250854,-1
28,1,CCA_without,2,2,0.850294870000013,0.851398017176171,0.500707960128784,-1
29,1,CCA_with,2,2,0.850357540981693,0.851362786933561,0.520003700256348,1
30,1,multistart_CCA,2,2,0.850400769325429,0.851471484467796,2.11192564964294,-1
31,1,benders_CCA_without,2,2,0.219203928943076,0.183482581147748,1000.18774952888,13897
32,1,benders_CCA_with,2,2,0.850294870000013,0.851398017176171,1000.1125374794,15363.6
33,1,kernelsearch_CCA_without,2,2,0.843589527161765,0.844424968641258,0.173074054718017,-1
34,1,kernelsearch_CCA_with,2,2,0.843589527161765,0.844424968641258,0.164965629577637,-1
35,1,combined_CCA,2,2,0.848288596327092,0.844840356537165,0.180449724197388,-1
36,1,greedy_CCA,3,3,0.906869964582614,0.908163720895032,0.07848219871521,-1
37,1,CCA_without,3,3,0.929635773207889,0.932110216526237,24.1620843410492,-1
38,1,CCA_with,3,3,0.929670920917198,0.93213289332341,23.9608375549316,1.8
39,1,multistart_CCA,3,3,0.929755424843364,0.932259987186342,8.10947074890137,-1
40,1,benders_CCA_without,3,3,0.819786454546971,0.821834818796464,1000.54354767799,3859.2
41,1,benders_CCA_with,3,3,0.929635773207889,0.932110216526237,1000.54574379921,3942.8
42,1,kernelsearch_CCA_without,3,3,0.923170583080244,0.925726566764651,12.8068217277527,-1
43,1,kernelsearch_CCA_with,3,3,0.923170583080244,0.925726566764651,12.9275382041931,-1
44,1,combined_CCA,3,3,0.925064959839861,0.928086703985342,0.275514078140259,-1
45,2,greedy_CCA,2,2,0.929232621151204,0.920561187241157,0.044682884216309,-1
46,2,CCA_without,2,2,0.928922378266299,0.919987753530048,0.420275592803955,-1
47,2,CCA_with,2,2,0.929112245754296,0.92053070546683,0.391648817062378,1
48,2,multistart_CCA,2,2,0.92926451105344,0.920933315050299,2.04030346870422,-1
49,2,benders_CCA_without,2,2,0.506147975934622,0.499034726343276,1000.06659984589,24182.2
50,2,benders_CCA_with,2,2,0.928922378266299,0.919987753530048,1000.06653718948,20295.4
51,2,kernelsearch_CCA_without,2,2,0.905609727551034,0.897611920977224,0.28256778717041,-1
52,2,kernelsearch_CCA_with,2,2,0.905609727551034,0.897611920977224,0.278889083862305,-1
53,2,combined_CCA,2,2,0.923831944707434,0.915151907011156,0.24988431930542,-1
54,2,greedy_CCA,3,3,0.964408400027031,0.958310406466544,0.103862571716309,-1
55,2,CCA_without,3,3,0.964284739796266,0.958206599339397,40.1027669906616,-1
56,2,CCA_with,3,3,0.964386848065195,0.958283313743857,40.2676543712616,1
57,2,multistart_CCA,3,3,0.963212563115675,0.957623523302937,4.14256467819214,-1
58,2,benders_CCA_without,3,3,0.930067734771334,0.921338296013417,1000.17856826782,6131.4
59,2,benders_CCA_with,3,3,0.964284739796266,0.958206599339397,1000.84369101524,4395
60,2,kernelsearch_CCA_without,3,3,0.961263256798412,0.955301348520463,2.20856428146362,-1
61,2,kernelsearch_CCA_with,3,3,0.961263256798412,0.955301348520463,2.26451730728149,-1
