,dataset,scaling,method,k1,k2,ObjVal_Train,ObjVal_Test,Time_Elapsed,N_Iter
95,0,False,CCA_without,10,10,0.772389407787666,0.822944347382344,1000.05476927757,-1
96,0,False,CCA_without,10,10,0.826722384573274,0.830547882983942,1000.05008816719,-1
97,0,False,CCA_without,10,10,0.826194009954659,0.794471285493112,1000.05172634125,-1
98,0,False,CCA_without,10,10,0.78161662952263,0.728750836854587,1000.09009885788,-1
99,0,False,CCA_without,10,10,0.850715243456575,0.822245234237941,1000.0749797821,-1
100,0,False,CCA_with,10,10,0.876079349221861,0.878997034470548,123.456433534622,21
101,0,False,CCA_with,10,10,0.820507856177069,0.801363465169893,109.787065505981,10
102,0,False,CCA_with,10,10,0.869647487842482,0.852690747389149,111.112418174744,10
103,0,False,CCA_with,10,10,0.879610958715749,0.874018299289586,120.275933265686,18
104,0,False,CCA_with,10,10,0.889426057623599,0.845497030523439,113.740354776382,14
105,0,False,multistart_CCA,10,10,0.890764730304492,0.884930487154677,307.258242845535,-1
106,0,False,multistart_CCA,10,10,0.888426585449225,0.862866959932711,213.361299276352,-1
107,0,False,multistart_CCA,10,10,0.889244735006663,0.842200051940732,236.465003728867,-1
108,0,False,multistart_CCA,10,10,0.899567262190658,0.891470929566957,242.290040016174,-1
109,0,False,multistart_CCA,10,10,0.901709788169768,0.887144340182964,282.497467517853,-1
110,0,False,benders_CCA_without,10,10,0.650257140271282,0.64988120975943,1102.22403550148,10
111,0,False,benders_CCA_without,10,10,0.799157741775588,0.745867878132387,1102.25856423378,10
112,0,False,benders_CCA_without,10,10,0.779885320248916,0.770407618108469,1102.23225975037,10
113,0,False,benders_CCA_without,10,10,0.71821015034452,0.707350270676178,1102.24114394188,10
114,0,False,benders_CCA_without,10,10,0.709803845474981,0.642471565143699,1102.20537734032,10
115,0,False,benders_CCA_with,10,10,0.79518025758469,0.835349303631359,1102.12571406364,5
116,0,False,benders_CCA_with,10,10,0.73032142641012,0.725104016989593,1102.09653806686,5
117,0,False,benders_CCA_with,10,10,0.819614382330986,0.795041561512812,1101.99843001366,5
118,0,False,benders_CCA_with,10,10,0.821599398400232,0.775326220346162,1102.06995654106,5
119,0,False,benders_CCA_with,10,10,0.840934757495828,0.844471425308813,1102.22795200348,5
120,0,False,kernelsearch_CCA_without,10,10,0.854878187705282,0.897893829963464,916.636872291565,-1
121,0,False,kernelsearch_CCA_without,10,10,0.827966001027347,0.877565628239334,917.581837177277,-1
122,0,False,kernelsearch_CCA_without,10,10,0.87633809597999,0.783264044818324,915.792998790741,-1
123,0,False,kernelsearch_CCA_without,10,10,0.867419165078936,0.867423490936697,916.840738534927,-1
124,0,False,kernelsearch_CCA_without,10,10,0.866029075404967,0.86366093510752,917.310065031052,-1
125,0,False,kernelsearch_CCA_with,10,10,0.854878187705282,0.897893829963464,916.929519891739,-1
126,0,False,kernelsearch_CCA_with,10,10,0.827966001027347,0.877565628239334,917.511031150818,-1
127,0,False,kernelsearch_CCA_with,10,10,0.876146874394172,0.788762836885474,915.806775808334,-1
128,0,False,kernelsearch_CCA_with,10,10,0.867419165078936,0.867423490936697,916.600508451462,-1
129,0,False,kernelsearch_CCA_with,10,10,0.866029075404967,0.86366093510752,917.223617315292,-1
130,0,False,combined_CCA,10,10,0.907152812749995,0.918011231280674,211.326246261597,-1
131,0,False,combined_CCA,10,10,0.907090175212759,0.91932729437191,187.012954950333,-1
132,0,False,combined_CCA,10,10,0.922884466875725,0.864175106341596,164.722222089767,-1
133,0,False,combined_CCA,10,10,0.913475423312084,0.905029588473678,181.323978900909,-1
134,0,False,combined_CCA,10,10,0.91738227142488,0.888897260910321,484.766170501709,-1
135,0,True,greedy_CCA,3,3,0.813503489455538,0.822772519372061,0.651824474334717,-1
136,0,True,greedy_CCA,3,3,0.82406013435626,0.808058745829664,0.63537859916687,-1
137,0,True,greedy_CCA,3,3,0.838847388621483,0.769787344261787,0.637379884719849,-1
138,0,True,greedy_CCA,3,3,0.82736142238159,0.797434044232547,0.644795179367065,-1
139,0,True,greedy_CCA,3,3,0.833116689655201,0.827710904580275,0.627162933349609,-1
140,0,True,CCA_without,3,3,0.801237316667104,0.816265675287877,1000.10743117332,-1
141,0,True,CCA_without,3,3,0.750119127309577,0.740078422968934,1000.04699444771,-1
142,0,True,CCA_without,3,3,0.806858394701465,0.775615539731794,1000.05783748627,-1
143,0,True,CCA_without,3,3,0.832591117248524,0.788924022436456,1000.05171060562,-1
144,0,True,CCA_without,3,3,0.852421958258814,0.776294486209183,1000.09789586067,-1
145,0,True,CCA_with,3,3,0.786243857280293,0.791620413568567,104.509219408035,5
146,0,True,CCA_with,3,3,0.745995412720443,0.739523441512236,104.394677877426,5
147,0,True,CCA_with,3,3,0.843395890630367,0.84612444039209,115.721547842026,19
148,0,True,CCA_with,3,3,0.831376764157821,0.786690433024888,105.592527627945,6
149,0,True,CCA_with,3,3,0.837857934800742,0.808760868075665,110.186672687531,13
150,0,True,multistart_CCA,3,3,0.839020304746469,0.878546935629519,85.9825692176819,-1
151,0,True,multistart_CCA,3,3,0.862962082737439,0.842403954411354,117.356107711792,-1
