,dataset,method,k1,k2,ObjVal_Train,ObjVal_Test,Time_Elapsed,N_Iter
0,6,greedy_CCA,2,2,0.9999999999994128,1.0,0.1005971431732177,-1
1,6,greedy_CCA,2,2,0.9999999999993884,1.0,0.0896663665771484,-1
2,6,greedy_CCA,2,2,0.9999999999994246,1.0,0.0871281623840332,-1
3,6,greedy_CCA,2,2,0.9999999999993814,1.0,0.0883181095123291,-1
4,6,greedy_CCA,2,2,0.999999999999404,1.0,0.0882542133331298,-1
5,6,CCA_without,2,2,0.9448317579652415,0.9530017819062936,6.92009711265564,-1
6,6,CCA_without,2,2,0.9751766232900972,0.97909967917044,6.434978485107422,-1
7,6,CCA_without,2,2,0.996035146194608,0.9950766275280528,7.435038328170776,-1
8,6,CCA_without,2,2,0.9997214283616724,0.9997168945857547,6.699977874755859,-1
9,6,CCA_without,2,2,0.9981823142349814,0.999021288226617,5.046380996704102,-1
10,6,CCA_with,2,2,0.9999960701938502,0.9999968009344908,7.0965776443481445,5
11,6,CCA_with,2,2,0.9999968556390578,0.999997320308641,6.769927263259888,3
12,6,CCA_with,2,2,0.9999990578289234,0.9999986363468476,7.558149099349976,3
13,6,CCA_with,2,2,0.9997483064426228,0.9997302111847672,6.600820541381836,1
14,6,CCA_with,2,2,0.998282151320112,0.998972965798866,4.84100341796875,1
15,6,multistart_CCA,2,2,0.9999991514773772,0.999999382798754,3.5585415363311768,-1
16,6,multistart_CCA,2,2,0.999999877477478,0.9999999542229434,3.331615447998047,-1
17,6,multistart_CCA,2,2,0.9999997810640944,0.9999997555964424,3.6870779991149902,-1
18,6,multistart_CCA,2,2,1.0000574484255351,0.9999999378698629,3.1779279708862305,-1
19,6,multistart_CCA,2,2,0.9999985479348577,0.9999993639588738,3.163088798522949,-1
20,6,benders_CCA_without,2,2,1.0000000003400178,0.9999999588638814,2.4440574645996094,37
21,6,benders_CCA_without,2,2,0.9996164610808416,0.9996940385867124,1.1800734996795654,18
22,6,benders_CCA_without,2,2,1.0000129400876805,0.9999732896011893,4.884907484054565,79
23,6,benders_CCA_without,2,2,0.9995852156728648,0.9997092678688816,2.3364157676696777,31
24,6,benders_CCA_without,2,2,0.9999999999994034,0.9999966376651634,1.0273253917694092,15
25,6,benders_CCA_with,2,2,1.000052062166585,0.99992200495966,7.038609504699707,1
26,6,benders_CCA_with,2,2,1.00003330965498,0.9999645191602796,7.147776126861572,1
27,6,benders_CCA_with,2,2,0.9997924254936192,0.9997332035876452,7.932862520217895,1
28,6,benders_CCA_with,2,2,1.0,1.0,6.711465120315552,1
29,6,benders_CCA_with,2,2,0.9999999999994034,0.9999966376651634,6.867067337036133,36
30,6,kernelsearch_CCA_without,2,2,0.9994394261166576,0.999013693618667,1.0280115604400637,-1
31,6,kernelsearch_CCA_without,2,2,0.9764106367396694,0.9952777198375072,1.209540843963623,-1
32,6,kernelsearch_CCA_without,2,2,0.9943768431031792,0.994030437191908,1.2684166431427002,-1
33,6,kernelsearch_CCA_without,2,2,0.9999999999993814,1.0,1.0075485706329346,-1
34,6,kernelsearch_CCA_without,2,2,0.999999999999404,1.0,0.7994327545166016,-1
35,6,kernelsearch_CCA_with,2,2,0.9994394261166576,0.999013693618667,1.0315251350402832,-1
36,6,kernelsearch_CCA_with,2,2,0.9764106367396694,0.9952777198375072,0.9558570384979248,-1
37,6,kernelsearch_CCA_with,2,2,0.9943768431031792,0.994030437191908,1.118302583694458,-1
38,6,kernelsearch_CCA_with,2,2,0.9999999999993814,1.0,0.9462347030639648,-1
39,6,kernelsearch_CCA_with,2,2,0.999999999999404,1.0,0.8159732818603516,-1
40,6,combined_CCA,2,2,1.0004126800139188,0.999924808653701,0.3544809818267822,-1
41,6,combined_CCA,2,2,1.0003769729463767,0.9999316076446332,0.4733462333679199,-1
42,6,combined_CCA,2,2,1.000319967910554,0.9998566750185328,0.5233912467956543,-1
43,6,combined_CCA,2,2,1.0005841773288326,0.999999672109102,0.3613934516906738,-1
44,6,combined_CCA,2,2,1.0005132285862806,0.9999000707235268,0.3490025997161865,-1
45,6,greedy_CCA,3,3,0.9999999999994128,1.0,0.1868352890014648,-1
46,6,greedy_CCA,3,3,0.9999999999993884,1.0,0.1818389892578125,-1
47,6,greedy_CCA,3,3,0.9999999999994246,1.0,0.1671369075775146,-1
48,6,greedy_CCA,3,3,0.9999999999993814,1.0,0.1680011749267578,-1
49,6,greedy_CCA,3,3,0.999999999999404,1.0,0.1697232723236084,-1
50,6,CCA_without,3,3,0.9683269971248464,0.9621527971750304,1000.1112821102142,-1
51,6,CCA_without,3,3,0.9859528674484428,0.988929959017194,1000.0662245750428,-1
52,6,CCA_without,3,3,0.9975365130626804,0.9947385493572732,1000.0754580497742,-1
53,6,CCA_without,3,3,0.9884744738705472,0.9915509305062172,1000.077469587326,-1
54,6,CCA_without,3,3,0.9824258245756612,0.9906979875510752,1000.0426323413848,-1
55,6,CCA_with,3,3,0.935816949865662,0.9960598316547108,100.05740809440611,1
56,6,CCA_with,3,3,0.9999997269977996,0.9999998279421042,100.23151516914368,5
57,6,CCA_with,3,3,0.9999875650169472,0.999982116231048,100.16291117668152,3
58,6,CCA_with,3,3,0.9999863611438372,0.9999891067288648,100.2134416103363,3
59,6,CCA_with,3,3,0.999999237021654,0.9999987824197544,100.21909403800964,5
60,6,multistart_CCA,3,3,1.000173897756872,0.9997813473462676,29.75856375694275,-1
61,6,multistart_CCA,3,3,1.0003910618595229,0.9999948322278868,37.69459772109985,-1
